StockCode,Description,CustomerID,Country,UnitPrice,Quantity
10002,INFLATABLE POLITICAL GLOBE,17677.0,United Kingdom,0.85,24.0
10002,INFLATABLE POLITICAL GLOBE,17967.0,United Kingdom,0.85,1.0
10002,INFLATABLE POLITICAL GLOBE,18069.0,United Kingdom,0.85,6.0
10120,DOGGY RUBBER,12748.0,United Kingdom,0.21,1.0
10120,DOGGY RUBBER,15021.0,United Kingdom,0.21,12.0
10120,DOGGY RUBBER,17198.0,United Kingdom,0.21,2.0
10120,DOGGY RUBBER,17967.0,United Kingdom,0.21,1.0
10123C,HEARTS WRAPPING TAPE,17967.0,United Kingdom,0.65,1.0
10124A,SPOTS ON RED BOOKCOVER TAPE,16710.0,United Kingdom,0.42,4.0
10124G,ARMY CAMO BOOKCOVER TAPE,16916.0,United Kingdom,0.42,5.0
10125,MINI FUNKY DESIGN TAPES,12501.0,Germany,0.42,20.0
10125,MINI FUNKY DESIGN TAPES,12524.0,Germany,0.42,20.0
10125,MINI FUNKY DESIGN TAPES,12735.0,France,0.42,20.0
10125,MINI FUNKY DESIGN TAPES,13069.0,United Kingdom,0.42,20.0
10125,MINI FUNKY DESIGN TAPES,14320.0,United Kingdom,0.42,20.0
10125,MINI FUNKY DESIGN TAPES,14321.0,United Kingdom,0.42,20.0
10125,MINI FUNKY DESIGN TAPES,15750.0,United Kingdom,0.85,20.0
10125,MINI FUNKY DESIGN TAPES,16145.0,United Kingdom,0.42,20.0
10125,MINI FUNKY DESIGN TAPES,16722.0,United Kingdom,0.85,20.0
10125,MINI FUNKY DESIGN TAPES,16898.0,United Kingdom,0.85,1.0
10125,MINI FUNKY DESIGN TAPES,17511.0,United Kingdom,0.42,60.0
10125,MINI FUNKY DESIGN TAPES,17722.0,United Kingdom,0.42,20.0
10125,MINI FUNKY DESIGN TAPES,17968.0,United Kingdom,0.85,2.0
10125,MINI FUNKY DESIGN TAPES,18062.0,United Kingdom,0.42,40.0
10133,COLOURING PENCILS BROWN TUBE,12748.0,United Kingdom,0.85,13.0
10133,COLOURING PENCILS BROWN TUBE,12782.0,Portugal,0.42,20.0
10133,COLOURING PENCILS BROWN TUBE,13198.0,United Kingdom,0.85,10.0
10133,COLOURING PENCILS BROWN TUBE,14321.0,United Kingdom,0.42,20.0
10133,COLOURING PENCILS BROWN TUBE,14621.0,United Kingdom,0.85,10.0
10133,COLOURING PENCILS BROWN TUBE,14916.0,United Kingdom,0.42,20.0
10133,COLOURING PENCILS BROWN TUBE,15194.0,United Kingdom,0.42,20.0
10133,COLOURING PENCILS BROWN TUBE,15235.0,United Kingdom,0.85,10.0
10133,COLOURING PENCILS BROWN TUBE,15271.0,United Kingdom,0.85,2.0
10133,COLOURING PENCILS BROWN TUBE,15983.0,United Kingdom,0.85,5.0
10133,COLOURING PENCILS BROWN TUBE,16519.0,United Kingdom,0.85,10.0
10133,COLOURING PENCILS BROWN TUBE,17259.0,United Kingdom,0.85,2.0
10133,COLOURING PENCILS BROWN TUBE,17744.0,United Kingdom,0.42,60.0
10133,COLOURING PENCILS BROWN TUBE,18118.0,United Kingdom,0.85,1.0
10133,COLOURING PENCILS BROWN TUBE,18245.0,United Kingdom,0.85,10.0
10135,COLOURING PENCILS BROWN TUBE,13069.0,United Kingdom,0.42,40.0
10135,COLOURING PENCILS BROWN TUBE,13108.0,United Kingdom,1.25,10.0
10135,COLOURING PENCILS BROWN TUBE,13126.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,13162.0,United Kingdom,0.42,40.0
10135,COLOURING PENCILS BROWN TUBE,13233.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,13473.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,13506.0,United Kingdom,1.25,10.0
10135,COLOURING PENCILS BROWN TUBE,13694.0,United Kingdom,0.42,100.0
10135,COLOURING PENCILS BROWN TUBE,14150.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,14307.0,United Kingdom,1.25,10.0
10135,COLOURING PENCILS BROWN TUBE,14419.0,United Kingdom,1.25,4.0
10135,COLOURING PENCILS BROWN TUBE,14713.0,United Kingdom,1.25,28.0
10135,COLOURING PENCILS BROWN TUBE,14739.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,14913.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,14916.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,15157.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,15235.0,United Kingdom,1.25,10.0
10135,COLOURING PENCILS BROWN TUBE,15279.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,15358.0,United Kingdom,1.25,10.0
10135,COLOURING PENCILS BROWN TUBE,15789.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,16122.0,United Kingdom,0.42,40.0
10135,COLOURING PENCILS BROWN TUBE,16210.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,16600.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,17094.0,United Kingdom,1.25,10.0
10135,COLOURING PENCILS BROWN TUBE,17744.0,United Kingdom,0.42,140.0
10135,COLOURING PENCILS BROWN TUBE,17757.0,United Kingdom,1.25,1.0
10135,COLOURING PENCILS BROWN TUBE,18075.0,United Kingdom,0.42,20.0
10135,COLOURING PENCILS BROWN TUBE,18118.0,United Kingdom,1.25,1.0
10135,COLOURING PENCILS BROWN TUBE,18125.0,United Kingdom,1.25,2.0
10135,COLOURING PENCILS BROWN TUBE,18226.0,United Kingdom,0.42,40.0
11001,ASSTD DESIGN RACING CAR PEN,12766.0,Portugal,1.69,16.0
11001,ASSTD DESIGN RACING CAR PEN,14016.0,EIRE,1.69,16.0
11001,ASSTD DESIGN RACING CAR PEN,14800.0,United Kingdom,1.69,32.0
11001,ASSTD DESIGN RACING CAR PEN,15750.0,United Kingdom,1.69,16.0
11001,ASSTD DESIGN RACING CAR PEN,17722.0,United Kingdom,1.69,16.0
11001,ASSTD DESIGN RACING CAR PEN,17816.0,United Kingdom,1.69,1.0
15034,PAPER POCKET TRAVELING FAN,13081.0,United Kingdom,0.14,168.0
15034,PAPER POCKET TRAVELING FAN,14404.0,United Kingdom,0.14,1.0
15034,PAPER POCKET TRAVELING FAN,15426.0,United Kingdom,0.14,1.0
15034,PAPER POCKET TRAVELING FAN,16122.0,United Kingdom,0.14,24.0
15034,PAPER POCKET TRAVELING FAN,16805.0,United Kingdom,0.14,12.0
15036,ASSORTED COLOURS SILK FAN,12515.0,Italy,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,12748.0,United Kingdom,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,12841.0,United Kingdom,0.75,24.0
15036,ASSORTED COLOURS SILK FAN,13013.0,United Kingdom,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,13138.0,United Kingdom,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,14060.0,United Kingdom,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,14775.0,United Kingdom,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,14865.0,United Kingdom,0.75,24.0
15036,ASSORTED COLOURS SILK FAN,16767.0,United Kingdom,0.75,48.0
15036,ASSORTED COLOURS SILK FAN,16805.0,United Kingdom,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,17365.0,United Kingdom,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,17400.0,United Kingdom,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,17496.0,United Kingdom,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,17673.0,United Kingdom,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,17722.0,United Kingdom,0.75,12.0
15036,ASSORTED COLOURS SILK FAN,18092.0,United Kingdom,0.75,96.0
15036,ASSORTED COLOURS SILK FAN,18190.0,United Kingdom,0.75,24.0
15039,SANDALWOOD FAN,12748.0,United Kingdom,0.85,12.0
15039,SANDALWOOD FAN,12841.0,United Kingdom,0.85,8.0
15039,SANDALWOOD FAN,13069.0,United Kingdom,0.85,2.0
15039,SANDALWOOD FAN,16327.0,United Kingdom,0.85,3.0
15044A,PINK PAPER PARASOL,12971.0,United Kingdom,2.95,18.0
15044A,PINK PAPER PARASOL,14606.0,United Kingdom,2.95,1.0
15044A,PINK PAPER PARASOL,16270.0,United Kingdom,2.95,6.0
15044A,PINK PAPER PARASOL,17673.0,United Kingdom,2.95,1.0
15044B,BLUE PAPER PARASOL,12510.0,Spain,2.95,6.0
15044B,BLUE PAPER PARASOL,12971.0,United Kingdom,2.95,18.0
15044B,BLUE PAPER PARASOL,14078.0,United Kingdom,2.95,1.0
15044B,BLUE PAPER PARASOL,17841.0,United Kingdom,2.95,1.0
15044C,PURPLE PAPER PARASOL,16270.0,United Kingdom,2.95,6.0
15044C,PURPLE PAPER PARASOL,17841.0,United Kingdom,2.95,1.0
15044D,RED PAPER PARASOL,12510.0,Spain,2.95,6.0
15044D,RED PAPER PARASOL,12971.0,United Kingdom,2.95,18.0
15044D,RED PAPER PARASOL,13089.0,United Kingdom,2.95,6.0
15044D,RED PAPER PARASOL,17841.0,United Kingdom,2.95,2.0
15056BL,EDWARDIAN PARASOL BLACK,12501.0,Germany,5.95,3.0
15056BL,EDWARDIAN PARASOL BLACK,12651.0,France,5.95,3.0
15056BL,EDWARDIAN PARASOL BLACK,12682.0,France,5.95,30.0
15056BL,EDWARDIAN PARASOL BLACK,12748.0,United Kingdom,5.95,1.0
15056BL,EDWARDIAN PARASOL BLACK,13093.0,United Kingdom,5.95,3.0
15056BL,EDWARDIAN PARASOL BLACK,13173.0,United Kingdom,5.95,2.0
15056BL,EDWARDIAN PARASOL BLACK,13551.0,United Kingdom,5.95,3.0
15056BL,EDWARDIAN PARASOL BLACK,13615.0,United Kingdom,5.95,3.0
15056BL,EDWARDIAN PARASOL BLACK,13767.0,United Kingdom,5.95,4.0
15056BL,EDWARDIAN PARASOL BLACK,13838.0,United Kingdom,5.95,1.0
15056BL,EDWARDIAN PARASOL BLACK,14031.0,United Kingdom,5.95,24.0
15056BL,EDWARDIAN PARASOL BLACK,14051.0,United Kingdom,5.95,24.0
15056BL,EDWARDIAN PARASOL BLACK,14062.0,United Kingdom,4.95,60.0
15056BL,EDWARDIAN PARASOL BLACK,14099.0,United Kingdom,5.95,2.0
15056BL,EDWARDIAN PARASOL BLACK,14258.0,United Kingdom,4.95,60.0
15056BL,EDWARDIAN PARASOL BLACK,14606.0,United Kingdom,5.95,6.0
15056BL,EDWARDIAN PARASOL BLACK,14911.0,EIRE,5.95,3.0
15056BL,EDWARDIAN PARASOL BLACK,15021.0,United Kingdom,5.95,2.0
15056BL,EDWARDIAN PARASOL BLACK,15044.0,United Kingdom,5.95,2.0
15056BL,EDWARDIAN PARASOL BLACK,15311.0,United Kingdom,5.95,4.0
15056BL,EDWARDIAN PARASOL BLACK,15332.0,Lithuania,5.95,12.0
15056BL,EDWARDIAN PARASOL BLACK,15485.0,United Kingdom,5.95,12.0
15056BL,EDWARDIAN PARASOL BLACK,15854.0,United Kingdom,5.95,18.0
15056BL,EDWARDIAN PARASOL BLACK,15867.0,United Kingdom,5.95,2.0
15056BL,EDWARDIAN PARASOL BLACK,15916.0,United Kingdom,5.95,3.0
15056BL,EDWARDIAN PARASOL BLACK,16565.0,United Kingdom,5.95,3.0
15056BL,EDWARDIAN PARASOL BLACK,16567.0,United Kingdom,5.95,3.0
15056BL,EDWARDIAN PARASOL BLACK,16711.0,United Kingdom,5.95,36.0
15056BL,EDWARDIAN PARASOL BLACK,16725.0,United Kingdom,5.95,4.0
15056BL,EDWARDIAN PARASOL BLACK,16746.0,United Kingdom,5.95,2.0
15056BL,EDWARDIAN PARASOL BLACK,16814.0,United Kingdom,5.95,2.0
15056BL,EDWARDIAN PARASOL BLACK,16885.0,United Kingdom,5.95,1.0
15056BL,EDWARDIAN PARASOL BLACK,17238.0,United Kingdom,5.95,1.0
15056BL,EDWARDIAN PARASOL BLACK,17850.0,United Kingdom,4.95,24.0
15056BL,EDWARDIAN PARASOL BLACK,18118.0,United Kingdom,5.95,1.0
15056N,EDWARDIAN PARASOL NATURAL,12501.0,Germany,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,12515.0,Italy,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,12682.0,France,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,12721.0,France,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,12727.0,France,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,13001.0,United Kingdom,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,13089.0,United Kingdom,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,13173.0,United Kingdom,5.95,2.0
15056N,EDWARDIAN PARASOL NATURAL,13284.0,United Kingdom,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,13551.0,United Kingdom,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,13615.0,United Kingdom,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,13767.0,United Kingdom,5.95,16.0
15056N,EDWARDIAN PARASOL NATURAL,13777.0,United Kingdom,4.25,59.0
15056N,EDWARDIAN PARASOL NATURAL,13838.0,United Kingdom,5.95,1.0
15056N,EDWARDIAN PARASOL NATURAL,14031.0,United Kingdom,5.95,6.0
15056N,EDWARDIAN PARASOL NATURAL,14051.0,United Kingdom,5.95,24.0
15056N,EDWARDIAN PARASOL NATURAL,14099.0,United Kingdom,5.95,2.0
15056N,EDWARDIAN PARASOL NATURAL,14159.0,United Kingdom,5.95,1.0
15056N,EDWARDIAN PARASOL NATURAL,14606.0,United Kingdom,5.95,1.0
15056N,EDWARDIAN PARASOL NATURAL,15039.0,United Kingdom,5.95,14.0
15056N,EDWARDIAN PARASOL NATURAL,15044.0,United Kingdom,5.95,1.0
15056N,EDWARDIAN PARASOL NATURAL,15311.0,United Kingdom,5.95,12.0
15056N,EDWARDIAN PARASOL NATURAL,15332.0,Lithuania,5.95,12.0
15056N,EDWARDIAN PARASOL NATURAL,15485.0,United Kingdom,5.95,12.0
15056N,EDWARDIAN PARASOL NATURAL,15812.0,United Kingdom,5.95,24.0
15056N,EDWARDIAN PARASOL NATURAL,15854.0,United Kingdom,5.95,9.0
15056N,EDWARDIAN PARASOL NATURAL,15867.0,United Kingdom,5.95,2.0
15056N,EDWARDIAN PARASOL NATURAL,16016.0,United Kingdom,5.95,2.0
15056N,EDWARDIAN PARASOL NATURAL,16567.0,United Kingdom,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,16746.0,United Kingdom,5.95,1.0
15056N,EDWARDIAN PARASOL NATURAL,16771.0,United Kingdom,5.95,1.0
15056N,EDWARDIAN PARASOL NATURAL,17238.0,United Kingdom,5.95,1.0
15056N,EDWARDIAN PARASOL NATURAL,17677.0,United Kingdom,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,17799.0,United Kingdom,5.95,1.0
15056N,EDWARDIAN PARASOL NATURAL,17976.0,United Kingdom,5.95,1.0
15056N,EDWARDIAN PARASOL NATURAL,18065.0,United Kingdom,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,18085.0,United Kingdom,5.95,3.0
15056N,EDWARDIAN PARASOL NATURAL,18116.0,United Kingdom,5.95,2.0
15056N,EDWARDIAN PARASOL NATURAL,18223.0,United Kingdom,5.95,6.0
15056P,EDWARDIAN PARASOL PINK,12515.0,Italy,5.95,3.0
15056P,EDWARDIAN PARASOL PINK,12682.0,France,5.95,6.0
15056P,EDWARDIAN PARASOL PINK,12712.0,Germany,5.95,3.0
15056P,EDWARDIAN PARASOL PINK,12721.0,France,5.95,3.0
15056P,EDWARDIAN PARASOL PINK,13668.0,United Kingdom,5.95,4.0
15056P,EDWARDIAN PARASOL PINK,13777.0,United Kingdom,4.6,48.0
15056P,EDWARDIAN PARASOL PINK,13838.0,United Kingdom,5.95,2.0
15056P,EDWARDIAN PARASOL PINK,15044.0,United Kingdom,5.95,1.0
15056P,EDWARDIAN PARASOL PINK,15854.0,United Kingdom,5.95,2.0
15056P,EDWARDIAN PARASOL PINK,15867.0,United Kingdom,5.95,2.0
15056P,EDWARDIAN PARASOL PINK,16567.0,United Kingdom,5.95,3.0
15056P,EDWARDIAN PARASOL PINK,16771.0,United Kingdom,5.95,1.0
15056P,EDWARDIAN PARASOL PINK,17799.0,United Kingdom,5.95,1.0
15056P,EDWARDIAN PARASOL PINK,18116.0,United Kingdom,5.95,1.0
15058A,BLUE POLKADOT GARDEN PARASOL,17912.0,United Kingdom,7.95,1.0
15058B,PINK POLKADOT GARDEN PARASOL,14667.0,United Kingdom,7.95,1.0
15058B,PINK POLKADOT GARDEN PARASOL,15039.0,United Kingdom,7.95,3.0
15060B,FAIRY CAKE DESIGN UMBRELLA,12578.0,Italy,3.75,4.0
15060B,FAIRY CAKE DESIGN UMBRELLA,13081.0,United Kingdom,3.75,4.0
15060B,FAIRY CAKE DESIGN UMBRELLA,13468.0,United Kingdom,3.75,4.0
15060B,FAIRY CAKE DESIGN UMBRELLA,13473.0,United Kingdom,3.75,4.0
15060B,FAIRY CAKE DESIGN UMBRELLA,13491.0,United Kingdom,3.75,16.0
15060B,FAIRY CAKE DESIGN UMBRELLA,14180.0,United Kingdom,3.75,4.0
15060B,FAIRY CAKE DESIGN UMBRELLA,14298.0,United Kingdom,2.95,12.0
15060B,FAIRY CAKE DESIGN UMBRELLA,14560.0,United Kingdom,3.75,4.0
15060B,FAIRY CAKE DESIGN UMBRELLA,14573.0,United Kingdom,3.75,1.0
15060B,FAIRY CAKE DESIGN UMBRELLA,14713.0,United Kingdom,3.75,3.0
15060B,FAIRY CAKE DESIGN UMBRELLA,14738.0,United Kingdom,3.75,4.0
15060B,FAIRY CAKE DESIGN UMBRELLA,15426.0,United Kingdom,3.75,3.0
15060B,FAIRY CAKE DESIGN UMBRELLA,15880.0,United Kingdom,3.75,1.0
15060B,FAIRY CAKE DESIGN UMBRELLA,17841.0,United Kingdom,3.75,4.0
15060B,FAIRY CAKE DESIGN UMBRELLA,18050.0,United Kingdom,3.75,4.0
15060B,FAIRY CAKE DESIGN UMBRELLA,18219.0,United Kingdom,3.75,4.0
15060B,FAIRY CAKE DESIGN UMBRELLA,18239.0,United Kingdom,3.75,4.0
16008,SMALL FOLDING SCISSOR(POINTED EDGE),17816.0,United Kingdom,0.25,2.0
16008,SMALL FOLDING SCISSOR(POINTED EDGE),17890.0,United Kingdom,0.25,12.0
16010,FOLDING CAMPING SCISSOR W/KNIF & S,12748.0,United Kingdom,0.12,12.0
16011,ANIMAL STICKERS,12748.0,United Kingdom,0.21,5.0
16011,ANIMAL STICKERS,12877.0,United Kingdom,0.21,24.0
16011,ANIMAL STICKERS,14541.0,United Kingdom,0.21,24.0
16011,ANIMAL STICKERS,14913.0,United Kingdom,0.21,24.0
16011,ANIMAL STICKERS,15281.0,United Kingdom,0.21,24.0
16011,ANIMAL STICKERS,17019.0,United Kingdom,0.21,23.0
16011,ANIMAL STICKERS,17365.0,United Kingdom,0.21,120.0
16011,ANIMAL STICKERS,17596.0,United Kingdom,0.21,41.0
16012,FOOD/DRINK SPONGE STICKERS,12877.0,United Kingdom,0.21,24.0
16012,FOOD/DRINK SPONGE STICKERS,14913.0,United Kingdom,0.21,24.0
16012,FOOD/DRINK SPONGE STICKERS,15281.0,United Kingdom,0.21,24.0
16012,FOOD/DRINK SPONGE STICKERS,17912.0,United Kingdom,0.21,48.0
16012,FOOD/DRINK SPONGE STICKERS,17964.0,United Kingdom,0.21,24.0
16012,FOOD/DRINK SPONGE STICKERS,18041.0,United Kingdom,0.21,48.0
16014,SMALL CHINESE STYLE SCISSOR,13848.0,United Kingdom,0.32,1000.0
16014,SMALL CHINESE STYLE SCISSOR,15867.0,United Kingdom,0.42,4.0
16014,SMALL CHINESE STYLE SCISSOR,15983.0,United Kingdom,0.42,10.0
16014,SMALL CHINESE STYLE SCISSOR,17816.0,United Kingdom,0.42,1.0
16014,SMALL CHINESE STYLE SCISSOR,17890.0,United Kingdom,0.42,4.0
16014,SMALL CHINESE STYLE SCISSOR,18077.0,United Kingdom,0.42,20.0
16015,MEDIUM CHINESE STYLE SCISSOR,17816.0,United Kingdom,0.5,1.0
16015,MEDIUM CHINESE STYLE SCISSOR,18077.0,United Kingdom,0.5,40.0
16016,LARGE CHINESE STYLE SCISSOR,12712.0,Germany,0.85,10.0
16016,LARGE CHINESE STYLE SCISSOR,13396.0,United Kingdom,0.85,10.0
16016,LARGE CHINESE STYLE SCISSOR,14715.0,United Kingdom,0.85,20.0
16016,LARGE CHINESE STYLE SCISSOR,15983.0,United Kingdom,0.85,10.0
16016,LARGE CHINESE STYLE SCISSOR,17596.0,United Kingdom,0.85,2.0
16016,LARGE CHINESE STYLE SCISSOR,17816.0,United Kingdom,0.85,2.0
16016,LARGE CHINESE STYLE SCISSOR,17890.0,United Kingdom,0.85,4.0
16016,LARGE CHINESE STYLE SCISSOR,18077.0,United Kingdom,0.85,10.0
16033,MINI HIGHLIGHTER PENS,14800.0,United Kingdom,0.12,120.0
16033,MINI HIGHLIGHTER PENS,17673.0,United Kingdom,0.12,120.0
16033,MINI HIGHLIGHTER PENS,18097.0,United Kingdom,0.12,120.0
16045,POPART WOODEN PENCILS ASST,12383.0,Belgium,0.12,100.0
16046,TEATIME PEN CASE & PENS,18041.0,United Kingdom,0.85,1.0
16046,TEATIME PEN CASE & PENS,18118.0,United Kingdom,0.85,9.0
16048,TEATIME ROUND PENCIL SHARPENER,15620.0,United Kingdom,0.42,24.0
16052,TEATIME PUSH DOWN RUBBER,14911.0,EIRE,0.42,24.0
16054,POPART RECT PENCIL SHARPENER ASST,12748.0,United Kingdom,0.42,2.0
16156L,"WRAP, CAROUSEL",12947.0,United Kingdom,0.42,25.0
16156L,"WRAP, CAROUSEL",14911.0,EIRE,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,12585.0,Germany,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,13081.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,13089.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,13468.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,13534.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,13680.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,13764.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,13869.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,14135.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,14653.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,14713.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,15023.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,15358.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,15641.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,16558.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,16722.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,17041.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,17188.0,United Kingdom,0.42,50.0
16156S,WRAP PINK FAIRY CAKES,17722.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,17802.0,United Kingdom,0.42,25.0
16156S,WRAP PINK FAIRY CAKES,18168.0,United Kingdom,0.42,25.0
16161M,WRAP  PINK FLOCK,14395.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,12708.0,Germany,0.42,25.0
16161P,WRAP ENGLISH ROSE,13089.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,13093.0,United Kingdom,0.42,50.0
16161P,WRAP ENGLISH ROSE,13451.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,14135.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,14257.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,14442.0,Channel Islands,0.42,25.0
16161P,WRAP ENGLISH ROSE,14653.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,15044.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,15213.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,15298.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,16558.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,16714.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,16719.0,United Kingdom,0.42,1.0
16161P,WRAP ENGLISH ROSE,17188.0,United Kingdom,0.42,50.0
16161P,WRAP ENGLISH ROSE,17392.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,17730.0,United Kingdom,0.42,25.0
16161P,WRAP ENGLISH ROSE,18168.0,United Kingdom,0.42,25.0
16161U,WRAP SUKI AND FRIENDS,12748.0,United Kingdom,0.42,25.0
16161U,WRAP SUKI AND FRIENDS,12826.0,United Kingdom,0.42,25.0
16161U,WRAP SUKI AND FRIENDS,12947.0,United Kingdom,0.42,25.0
16161U,WRAP SUKI AND FRIENDS,13081.0,United Kingdom,0.42,25.0
16161U,WRAP SUKI AND FRIENDS,13093.0,United Kingdom,0.42,25.0
16161U,WRAP SUKI AND FRIENDS,13385.0,United Kingdom,0.42,25.0
